1	5830300281	12	7
2	5830300524	13	6
3	5830300605	14	5
4	5830300826	15	7
5	5930300208	16	6
6	5930300232	17	5
7	5930300348	18	7
8	5930300461	19	6
9	5930300763	12	5
10	5930300941	13	7
11	5930300984	14	6
12	6030300318	15	5
13	6030300415	16	7
14	6030300547	17	6
15	6030300598	18	5
16	6030300822	19	7
17	6030300849	12	6
18	6030300857	13	5
19	6030301004	14	7
20	6030301110	15	6
21	6030301136	16	5
22	6130300018	17	7
23	6130300042	18	6
24	6130300085	19	5
25	6130300115	12	7
26	6130300140	13	6
27	6130300212	14	5
28	6130300280	15	7
29	6130300417	16	6
30	6130300441	17	5
31	6130300450	18	7
32	6130300468	19	6
33	6130300514	12	5
34	6130300522	13	7
35	6130300531	14	6
36	6130300557	15	5
37	6130300719	16	7
38	6130300735	17	6
39	6130300743	18	5
40	6130300786	19	7
41	6130300867	12	6
42	6130300891	13	5
43	6130300921	14	7
44	6130300930	15	6
45	6130300964	16	5
46	6130300981	17	7
47	6130301065	18	6
