1	6230300010	26	10	35
2	6230300028	35	10	35
3	6230300036	32	10	35
4	6230300044	26	10	35
5	6230300052	39	10	35
6	6230300061	26	10	35
7	6230300079	39	10	35
8	6230300087	28	10	35
9	6230300095	40	10	35
10	6230300109	22	10	35
11	6230300125	40	10	35
12	6230300133	24	10	35
13	6230300141	35	10	30
14	6230300150	35	10	35
15	6230300168	33	10	35
16	6230300176	39	10	35
17	6230300184	32	10	35
18	6230300192	29	10	35
19	6230300206	29	10	35
20	6230300214	22	10	35
21	6230300222	39	10	35
22	6230300231	36	10	35
23	6230300249	39	10	35
24	6230300257	29	10	35
25	6230300265	25	10	35
26	6230300273	15	10	0
27	6230300281	22	10	30
28	6230300290	36	10	35
29	6230300311	30	10	35
30	6230300320	35	10	35
31	6230300338	28	10	35
32	6230300346	34	10	32
33	6230300354	32	10	35
34	6230300362	35	10	35
35	6230300371	39	10	35
36	6230300389	36	10	35
37	6230300397	39	10	35
38	6230300401	29	10	35
39	6230300419	36	10	35
40	6230300427	38	10	35
41	6230300435	39	10	35
42	6230300443	26	10	35
43	6230300451	36	10	35
44	6230300460	39	10	35
45	6230300478	32	10	35
46	6230300486	22	10	35
47	6230300494	39	10	35
48	6230300508	35	10	35
49	6230300516	28	10	35
50	6230300524	22	10	30
51	6230300532	31	10	35
52	6230300541	22	10	35
53	6230300559	34	10	35
54	6230300567	40	10	35
55	6230300575	28	10	35
56	6230300583	32	10	35
57	6230300591	32	10	35
